77.1897	28.5442	295.9
77.1804	28.5454	320.1
77.1617	28.5460	352.4
77.1641	28.5445	453.4
77.1686	28.5489	493.8
77.1596	28.5265	405.7
77.1000	28.5490	321.1
77.0756	28.5534	285
77.1817	28.5163	450.6
77.0230	28.4778	332.9
77.2234	28.6946	338.5
77.1966	28.5241	325.4
77.2656	28.5072	356.8
77.2415	28.5407	408.2
77.2524	28.5850	190.3
77.2901	28.5395	350.2
77.3959	28.5954	315.6
77.3698	28.5731	337.4
77.2310	28.5840	273.3
77.2311	28.5922	344.2
77.2055	28.5734	327.1
77.1752	28.5635	273.7
77.1608	28.6345	441
77.1470	28.6454	421.2
77.1099	28.5810	269.4
77.0712	28.5698	288.2
77.0690	28.5620	292.6
77.0579	28.5680	309.3
77.0545	28.5881	303.2
77.0533	28.5986	294.2
77.0347	28.6027	268.8
77.0200	28.6018	287.9
77.0462	28.5844	278.8
77.0849	28.6019	310.7
77.1000	28.6102	303.8
77.0959	28.6207	286.6
77.0734	28.6347	294.9
77.1235	28.6309	310.1
77.1395	28.6500	243.9
77.1740	28.9517	387
77.0929	28.6503	272.5
77.1385	28.6711	369.2
77.1183	28.8086	327.7
77.1237	28.6797	318.6
77.0752	28.6822	284.7
77.0773	28.6569	407.4
77.0433	28.6655	313.5
77.0375	28.7108	292
77.0540	28.7033	240.3
77.3119	28.5802	245
77.3218	28.5807	285.1
77.3388	28.5727	214.7
77.3676	28.5783	237.8
77.3480	28.6039	243.7
77.3685	28.5983	214.9
77.2975	28.5918	246.5
77.3203	28.6105	245.8
77.3072	28.6245	248.2
77.2975	28.6397	223.3
77.2760	28.6150	203.3
77.2818	28.6009	212.8
77.3567	28.6306	325
77.2513	28.6364	200
77.3151	28.6568	193.2
77.3014	28.6606	251.4
77.2598	28.6756	237.5
77.3090	28.6891	245.2
77.2740	28.6986	230.9
77.2634	28.7371	232.3
77.2723	28.7576	245.1
77.2002	28.7041	277.5
77.2145	28.7094	300.8
77.1966	28.6733	295.4
77.2281	28.6932	337.7
77.2029	28.5553	341.9
77.2236	28.5569	248.3
77.1457	28.4872	295.5
77.0919	28.5237	346.5
77.1752	28.5019	298.3
77.1972	28.4964	481.4
77.2192	28.4884	321.8
77.2907	28.5273	357.4
77.3049	28.5167	280
77.0887	28.7351	227.8
77.1432	28.7378	374.5
77.2224	28.5988	313.5
77.2797	28.6092	263.8
77.1012	28.7007	287.7
77.1365	28.7181	289.8
77.0799	28.7398	275.7
77.1001	28.7055	327.9
77.1494	28.6470	339.1
77.1461	28.7572	316.6
77.1707	28.0754	240.3
77.1866	28.6646	301.2
77.2833	28.5089	347.5
77.1864	28.6354	420.7
77.1546	28.9590	285.1
77.1418	28.7390	290.9
77.1697	28.7391	231.9
77.0775	28.7363	268.6
77.0535	28.7366	239.9
77.1806	28.7519	215.9
77.1973	28.7466	214.2
77.1589	28.7164	250.9
77.1695	28.6854	291
77.0783	28.5294	300.3
77.0501	28.5236	289.9
77.0772	28.5186	244.7
77.0864	28.5351	307.5
77.3111	28.5439	243.8
77.3508	28.5340	214.2
77.2838	28.6746	204.9
77.3217	28.6876	277.2
77.2571	28.7178	198.4
77.1900	28.7134	254.1
77.1619	28.6822	319.9
