%lon	lat	L	T	Vel
52.75	28.87	0.50326	0.44153	560
52.72	29.18	0.02675	0.0431	1620
52.83	29.10	0.26299	0.3123	560
52.56	28.83	0.28787	0.24904	1130
52.82	29.33	0.01996	0.02247	670
53.22	29.77	0.01576	0.0137	280
52.07	28.87	0.02321	0.0156	1328.2
53.13	28.98	0.03995	0.02911	1596.6
52.62	29.07	1.00091	1.00624	2000
53.03	28.44	0.00689	0.01413	300
